blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
40,0.029166666666666664,-0.08333333333333334,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,-0.020833333333333336,selected_cluster_hit,17
40,0.029166666666666664,-0.08333333333333334,cluster_trust_weighted_minus_cluster_equal_noisy,repeated,lotte_science_search_100k,-0.020833333333333336,route_true_reward,17
40,-0.09166666666666667,-0.37083333333333335,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.22916666666666669,hit_at_10,17
40,-0.07686458333333349,-0.3106302083333334,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.18979166666666666,evidence_recall_at_10,17
40,-0.034621031746031775,-0.27534895833333334,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.15225198412698412,mrr_at_10,17
40,-0.04210150090494866,-0.26396648938203665,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.15164985781401427,ndcg_at_10,17
40,-0.08333333333333334,-0.35833333333333334,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.2166666666666667,selected_cluster_hit,17
40,-0.08333333333333334,-0.35833333333333334,cluster_trust_weighted_minus_cluster_static_nearest,repeated,lotte_science_search_100k,-0.2166666666666667,route_true_reward,17
40,0.6584374999999986,0.375,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5208333333333333,hit_at_10,17
40,0.5033333333333333,0.25415625,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.3783333333333333,evidence_recall_at_10,17
40,0.5219370039682538,0.259422123015873,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.3883928571428571,mrr_at_10,17
40,0.4689323929468369,0.22676778611182075,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.34889874008467864,ndcg_at_10,17
40,0.6624999999999999,0.3791666666666666,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5208333333333333,selected_cluster_hit,17
40,0.6583333333333333,0.37916666666666665,cluster_oracle_minus_cluster_cold_no_feedback,repeated,lotte_science_search_100k,0.5208333333333333,route_true_reward,17
64,0.265625,-0.015625,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.125,hit_at_10,17
64,0.19203869047619046,0.00865792410714286,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.09888392857142857,evidence_recall_at_10,17
64,0.26785714285714285,-0.0037202380952380924,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.1324404761904762,mrr_at_10,17
64,0.2066262437375633,0.01704982678225991,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.10937009306172331,ndcg_at_10,17
64,0.265625,-0.015625,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.125,selected_cluster_hit,17
64,0.265625,-0.015625,cluster_equal_noisy_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.125,route_true_reward,17
64,0.28125,0.015625,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.15625,hit_at_10,17
64,0.20291294642857127,0.028155691964285724,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.1158110119047619,evidence_recall_at_10,17
64,0.2754520089285713,0.015252976190476192,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.1433779761904762,mrr_at_10,17
64,0.20292665874974067,0.028894958785371207,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.11449846926897678,ndcg_at_10,17
64,0.296875,0.015625,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.15625,selected_cluster_hit,17
64,0.296875,0.015625,cluster_trust_weighted_minus_cluster_cold_no_feedback,unseen,lotte_science_search_100k,0.15625,route_true_reward,17
64,0.140625,-0.078125,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.03125,hit_at_10,17
64,0.09114583333333331,-0.06119791666666667,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.01692708333333333,evidence_recall_at_10,17
64,0.109375,-0.0875,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.010937500000000003,mrr_at_10,17
64,0.07667713829749921,-0.06874419575076524,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.005128376207253496,ndcg_at_10,17
64,0.140625,-0.078125,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.03125,selected_cluster_hit,17
64,0.140625,-0.078125,cluster_trust_weighted_minus_cluster_equal_noisy,unseen,lotte_science_search_100k,0.03125,route_true_reward,17
64,-0.296875,-0.578125,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.4375,hit_at_10,17
64,-0.2546875000000005,-0.47779854910714287,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.36741071428571426,evidence_recall_at_10,17
64,-0.24047340029761907,-0.49828915550595243,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.3708147321428571,mrr_at_10,17
64,-0.2361561477897958,-0.4504580495651348,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.3432325523128211,ndcg_at_10,17
64,-0.390625,-0.640625,cluster_trust_weighted_minus_cluster_static_nearest,unseen,lotte_science_search_100k,-0.515625,selected_cluster_hit,17
