condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
repeated,lotte_science_search_100k,0.0,20,0.4625,1908.15,0.7,cluster_trust_weighted,0.6238095238095238,0.4945933025769211,A_recurrent_return,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.425,2056.45,0.6,cluster_trust_weighted,0.5571428571428572,0.45417644168884563,A_recurrent_warmup_1,0.6,17,0.6,20
repeated,lotte_science_search_100k,0.0,20,0.4625,1907.4,0.7,cluster_trust_weighted,0.6238095238095238,0.4945933025769211,A_recurrent_warmup_2,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.5875,1992.75,0.65,cluster_trust_weighted,0.5154761904761904,0.5173305304831071,B_recurrent_shift_1,0.7,17,0.7,20
repeated,lotte_science_search_100k,0.0,20,0.6166666666666667,1701.55,0.7,cluster_trust_weighted,0.5654761904761905,0.5475755535306673,B_recurrent_shift_2,0.7,17,0.7,20
unseen,lotte_science_search_100k,0.0,64,0.19348958333333333,1799.71875,0.328125,cluster_trust_weighted,0.29441964285714284,0.20255592775860715,unseen_tail,0.34375,17,0.359375,64
nearby,lotte_science_search_100k,0.0,24,0.03125,1692.8333333333333,0.125,cluster_trust_weighted,0.0763888888888889,0.033078097894197064,A_nearby,0.125,19,0.125,24
nearby,lotte_science_search_100k,0.0,24,0.013888888888888888,2034.5,0.041666666666666664,cluster_trust_weighted,0.041666666666666664,0.019553280250948185,B_nearby,0.041666666666666664,19,0.041666666666666664,24
repeated,lotte_science_search_100k,0.0,20,0.12916666666666665,1739.0,0.25,cluster_trust_weighted,0.13333333333333333,0.0956873846033163,A_recurrent_return,0.25,19,0.25,20
repeated,lotte_science_search_100k,0.0,20,0.0,2080.4,0.0,cluster_trust_weighted,0.0,0.0,A_recurrent_warmup_1,0.05,19,0.05,20
repeated,lotte_science_search_100k,0.0,20,0.06666666666666667,1396.15,0.15,cluster_trust_weighted,0.10833333333333334,0.06811752399811266,A_recurrent_warmup_2,0.25,19,0.25,20
repeated,lotte_science_search_100k,0.0,20,0.058333333333333334,1827.95,0.15,cluster_trust_weighted,0.07916666666666666,0.05250222775292791,B_recurrent_shift_1,0.15,19,0.15,20
repeated,lotte_science_search_100k,0.0,20,0.03333333333333333,1726.25,0.1,cluster_trust_weighted,0.041666666666666664,0.02690770069919742,B_recurrent_shift_2,0.1,19,0.1,20
unseen,lotte_science_search_100k,0.0,64,0.1171875,1749.609375,0.203125,cluster_trust_weighted,0.17122395833333334,0.11889476458867182,unseen_tail,0.21875,19,0.25,64
nearby,lotte_technology_search_100k,0.0,24,0.06898148148148148,1469.8333333333333,0.20833333333333334,cluster_cold_no_feedback,0.20833333333333334,0.09835889367269296,A_nearby,0.20833333333333334,13,0.20833333333333334,24
nearby,lotte_technology_search_100k,0.0,24,0.056712962962962965,1314.25,0.125,cluster_cold_no_feedback,0.125,0.06772606664194113,B_nearby,0.125,13,0.125,24
repeated,lotte_technology_search_100k,0.0,20,0.09805555555555556,1619.55,0.25,cluster_cold_no_feedback,0.25,0.13491376578954464,A_recurrent_return,0.25,13,0.25,20
repeated,lotte_technology_search_100k,0.0,20,0.05,1275.45,0.05,cluster_cold_no_feedback,0.05,0.04598603945740938,A_recurrent_warmup_1,0.05,13,0.05,20
repeated,lotte_technology_search_100k,0.0,20,0.04055555555555555,1524.5,0.15,cluster_cold_no_feedback,0.1125,0.04971305460113251,A_recurrent_warmup_2,0.15,13,0.15,20
