blocks,ci_high,ci_low,comparison,condition,dataset,delta,metric,seed
64,0.078125,0.0,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.03125,hit_at_10,17
64,0.07032180059523796,-0.03211960565476191,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.015562996031746032,evidence_recall_at_10,17
64,0.010416666666666666,0.0,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.004557291666666666,mrr_at_10,17
64,0.020990717264304796,-0.016283310131336406,learned_feedback_minus_dense,unseen,lotte_science_search_100k,0.0018337544453901253,ndcg_at_10,17
0,nan,nan,learned_feedback_minus_dense,unseen,lotte_science_search_100k,nan,selected_cluster_hit,17
0,nan,nan,learned_feedback_minus_dense,unseen,lotte_science_search_100k,nan,route_true_reward,17
64,227.87695312499974,28.958593750000002,learned_feedback_minus_dense,unseen,lotte_science_search_100k,131.359375,final_context_tokens,17
64,0.046875,0.0,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,0.015625,hit_at_10,17
64,0.040056113591269815,-0.04601469494047619,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.0060143849206349236,evidence_recall_at_10,17
64,0.005859375,0.0,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,0.001953125,mrr_at_10,17
64,0.011586393326777491,-0.02217099400443968,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.005852406665364641,ndcg_at_10,17
64,-0.421875,-0.671875,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.546875,selected_cluster_hit,17
64,-0.390625,-0.65625,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-0.53125,route_true_reward,17
64,59.437890624999994,-152.130078125,learned_feedback_minus_static_nearest,unseen,lotte_science_search_100k,-41.09375,final_context_tokens,17
64,0.046875,0.0,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.015625,hit_at_10,17
64,0.047061011904761904,-0.03688244047619047,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.0012772817460317467,evidence_recall_at_10,17
64,0.005859375,0.0,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.001953125,mrr_at_10,17
64,0.014959917474589125,-0.02003396392431414,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,-0.0029271344885516007,ndcg_at_10,17
64,0.265625,-0.015625,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.125,selected_cluster_hit,17
64,0.28125,-0.015625,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,0.125,route_true_reward,17
64,5.862109374999733,-322.23828125,learned_feedback_minus_cold_no_feedback,unseen,lotte_science_search_100k,-137.21875,final_context_tokens,17
48,0.10416666666666667,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.041666666666666664,hit_at_10,19
48,0.11979166666666667,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.053125,evidence_recall_at_10,19
48,0.015046296296296295,0.0,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.005787037037037038,mrr_at_10,19
48,0.04160846624804468,-0.0022429373079456286,learned_feedback_minus_dense,nearby,lotte_science_search_100k,0.01800724013972984,ndcg_at_10,19
0,nan,nan,learned_feedback_minus_dense,nearby,lotte_science_search_100k,nan,selected_cluster_hit,19
