condition,dataset,dense_queried,event_count,evidence_recall_at_10,final_context_tokens,hit_at_10,method,mrr_at_10,ndcg_at_10,phase,route_true_reward,seed,selected_cluster_hit,unique_query_count
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1721.85,1.0,cold_no_feedback,0.875,0.7823461605126144,B_recurrent_shift_2,0.2,17,0.2,20
unseen,lotte_technology_search_100k,1.0,64,0.5892733134920635,1430.1875,0.796875,cold_no_feedback,0.5700892857142857,0.5213421650934028,unseen_tail,0.09375,17,0.09375,64
nearby,lotte_technology_search_100k,1.0,24,0.8176587301587301,1909.2083333333333,0.9583333333333334,cold_no_feedback,0.8506944444444444,0.8076032843258504,A_nearby,0.16666666666666666,19,0.16666666666666666,24
nearby,lotte_technology_search_100k,1.0,24,0.7650462962962963,2153.4166666666665,0.875,cold_no_feedback,0.7302083333333333,0.6945069675689084,B_nearby,0.16666666666666666,19,0.16666666666666666,24
repeated,lotte_technology_search_100k,1.0,20,0.8225,1959.3,0.95,cold_no_feedback,0.8516666666666667,0.7582567118853135,A_recurrent_return,0.05,19,0.05,20
repeated,lotte_technology_search_100k,1.0,20,0.8225,1867.95,0.95,cold_no_feedback,0.8516666666666667,0.7579292419635932,A_recurrent_warmup_1,0.15,19,0.15,20
repeated,lotte_technology_search_100k,1.0,20,0.7930555555555555,1956.25,0.95,cold_no_feedback,0.8516666666666667,0.7462406793712244,A_recurrent_warmup_2,0.2,19,0.2,20
repeated,lotte_technology_search_100k,1.0,20,0.810515873015873,1758.8,1.0,cold_no_feedback,0.875,0.7785395526001755,B_recurrent_shift_1,0.1,19,0.1,20
repeated,lotte_technology_search_100k,1.0,20,0.8160714285714286,1965.35,1.0,cold_no_feedback,0.875,0.7820605403017764,B_recurrent_shift_2,0.3,19,0.3,20
unseen,lotte_technology_search_100k,1.0,64,0.5866691468253968,1427.328125,0.796875,cold_no_feedback,0.5693080357142857,0.5203247626754789,unseen_tail,0.109375,19,0.109375,64
nearby,lotte_technology_search_100k,1.0,24,0.8116402116402116,1741.5416666666667,0.9583333333333334,dense,0.8506944444444444,0.8041241538351186,A_nearby,nan,13,nan,24
