hit@10,hit_delta_vs_dense_pp,method,policy,seed_rows,split,token_saving_vs_dense_pct,tokens
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.82_m6,3,calibration,22.178702446979187,1149.9422718808194
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.82_m7,3,calibration,20.33196850949392,1177.2309124767226
0.8472998137802608,-1.3035381750465518,intentroute,token_budget_r0.82_m8,3,calibration,15.90769606897969,1242.6070763500932
0.8491620111731844,-1.1173184357541888,intentroute,token_budget_r0.83_m4,3,calibration,21.69250758340486,1157.1266294227187
0.8491620111731844,-1.1173184357541888,intentroute,token_budget_r0.83_m5,3,calibration,21.66982353067199,1157.461824953445
0.8491620111731844,-1.1173184357541888,intentroute,token_budget_r0.83_m6,3,calibration,21.310533339886508,1162.7709497206704
0.8491620111731844,-1.1173184357541888,intentroute,token_budget_r0.83_m7,3,calibration,19.84237103800966,1184.465549348231
0.8472998137802608,-1.3035381750465518,intentroute,token_budget_r0.83_m8,3,calibration,15.736305448331409,1245.1396648044692
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.84_m4,3,calibration,20.8841991710239,1169.070763500931
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.84_m5,3,calibration,20.874621459870028,1169.2122905027932
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.84_m6,3,calibration,20.53625100660485,1174.2122905027934
0.851024208566108,-0.9310986964618221,intentroute,token_budget_r0.84_m7,3,calibration,19.375709664288628,1191.361266294227
0.8491620111731844,-1.117318435754185,intentroute,token_budget_r0.84_m8,3,calibration,15.58961524065891,1247.3072625698323
0.8528864059590316,-0.7448789571694555,intentroute,token_budget_r0.85_m4,3,calibration,20.08748483003974,1180.8435754189945
0.8528864059590316,-0.7448789571694555,intentroute,token_budget_r0.85_m5,3,calibration,20.082948019493163,1180.9106145251396
0.8528864059590316,-0.7448789571694555,intentroute,token_budget_r0.85_m6,3,calibration,19.86392088810588,1184.147113594041
0.8528864059590316,-0.7448789571694555,intentroute,token_budget_r0.85_m7,3,calibration,18.90350329989957,1198.338919925512
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.85_m8,3,calibration,15.374368784727082,1250.487895716946
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.86_m4,3,calibration,19.299844110148722,1192.4823091247672
0.851024208566108,-0.9310986964618184,intentroute,token_budget_r0.86_m5,3,calibration,19.29656752475398,1192.5307262569831
