calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,fold,hit@10,hit_delta_pp,method,saving_pct,scale,seed,selected_policy,test_queries
True,0.6289308176100628,477,16.38825753396444,2,0.7226890756302521,-1.6806722689075682,intentroute,17.273354071999016,638k,17,token_budget_r0.85_m4,119
True,0.6289308176100628,477,16.38825753396444,2,0.7394957983193278,0.0,intentroute,18.822782130002125,638k,19,token_budget_r0.85_m4,119
False,-1.2578616352201255,477,11.80655162521791,2,0.7394957983193278,0.0,dense,0.0,638k,,dense_top10_fallback,119
True,1.2578616352201255,477,17.1061629764576,3,0.773109243697479,-3.361344537815125,intentroute,15.117519133453229,638k,13,token_budget_r0.85_m4,119
True,1.2578616352201255,477,17.1061629764576,3,0.7899159663865546,-1.6806722689075682,intentroute,14.194303876876758,638k,17,token_budget_r0.85_m4,119
True,1.2578616352201255,477,17.1061629764576,3,0.7647058823529411,-4.201680672268915,intentroute,15.662247501150095,638k,19,token_budget_r0.85_m4,119
False,-0.8385744234800874,477,13.472362082004963,3,0.8067226890756303,0.0,dense,0.0,638k,,dense_top10_fallback,119
True,0.06988120195667857,477,12.542844944553604,4,0.7226890756302521,7.563025210084029,intentroute,10.3242206117785,638k,13,token_budget_r0.90_m4,119
True,0.06988120195667857,477,12.542844944553604,4,0.6554621848739496,0.8403361344537785,intentroute,11.875053466459729,638k,17,token_budget_r0.90_m4,119
True,0.06988120195667857,477,12.542844944553604,4,0.6722689075630253,2.5210084033613467,intentroute,10.519144047808194,638k,19,token_budget_r0.90_m4,119
False,-1.467505241090139,477,11.555963868752638,4,0.6470588235294118,0.0,dense,0.0,638k,,dense_top10_fallback,119
