calibration_eligible,calibration_hit_delta_pp,calibration_queries,calibration_saving_pct,dense_same_action_test_hit_delta_pp,dense_same_action_test_saving_pct,is_original_split,scale,selected_policy,split_index,split_salt,test_hit_delta_max_seed_pp,test_hit_delta_mean_pp,test_hit_delta_min_seed_pp,test_point_noninferior_seeds_1pp,test_queries,test_saving_max_seed_pct,test_saving_mean_pct,test_saving_min_seed_pct
True,2.979515828677844,179,15.064590377795605,-2.637889688249395,21.967707175809004,False,200k,token_budget_r0.85_m4,17,task65_5_calibration_sensitivity_v1_17,1.1990407673860948,0.7194244604316613,0.47961630695444457,3,417,17.405966932686802,16.526304564995343,16.02687140115163
True,0.0,179,15.103331693147714,-1.918465227817745,22.20623170262891,False,200k,token_budget_r0.85_m4,18,task65_5_calibration_sensitivity_v1_18,2.6378896882494063,1.9984012789768208,1.6786570743405282,3,417,16.94792457293812,16.47483519360028,15.666163951016433
True,1.3035381750465516,179,14.916594665498277,-2.6378896882494063,22.147516014073243,False,200k,token_budget_r0.85_m4,19,task65_5_calibration_sensitivity_v1_19,1.6786570743405282,1.4388489208633042,1.1990407673860837,3,417,17.224962651401732,16.531465551967138,15.230442067903882
False,-0.744878957169463,179,8.425809194323918,-0.23980815347721673,11.441467704795071,True,400k,token_budget_r0.98_m4,0,task38_lotte_calibration_v1,3.1175059952038398,2.3181454836131135,1.6786570743405282,3,417,8.351157740269189,6.56784356885571,4.721038477790184
True,2.2346368715083846,179,18.123960420980875,-3.3573141486810565,22.298287392686987,False,400k,token_budget_r0.85_m4,1,task65_5_calibration_sensitivity_v1_01,-0.959232613908878,-1.9184652278177488,-3.1175059952038398,1,417,20.299457709666836,18.269604303550008,16.676201979107063
True,3.700743415417188e-15,179,15.897934467968629,-1.918465227817756,20.007484694758805,False,400k,token_budget_r0.88_m4,2,task65_5_calibration_sensitivity_v1_02,0.7194244604316502,-0.23980815347722415,-0.959232613908878,3,417,16.999533006224453,15.515495024064045,14.488321957023786
True,3.700743415417188e-15,179,18.645981032170457,-2.6378896882494063,22.239487694360406,False,400k,token_budget_r0.85_m4,3,task65_5_calibration_sensitivity_v1_03,0.47961630695443347,-0.9592326139088744,-2.1582733812949617,1,417,18.874261859783083,18.03197836990458,17.336882571304024
True,0.5586592178770888,179,11.49035032139029,-1.4388489208633115,17.134775947852134,False,400k,token_budget_r0.92_m4,4,task65_5_calibration_sensitivity_v1_04,1.6786570743405282,0.23980815347722043,-0.47961630695443347,3,417,13.346845657532135,12.557344375073447,12.117930337750138
True,0.3724394785847296,179,13.476544569907286,-1.1990407673860948,16.153153284270218,False,400k,token_budget_r0.92_m4,5,task65_5_calibration_sensitivity_v1_05,1.4388489208633115,0.31974420463629266,-0.23980815347721673,3,417,12.794576858827888,11.73035655665466,11.073162922247725
False,-1.8621973929236517,179,5.658418673728797,-0.47961630695444457,11.33853209083997,False,400k,token_budget_r0.98_m4,6,task65_5_calibration_sensitivity_v1_06,4.076738609112707,2.7977617905675434,1.918465227817745,3,417,9.138234111963218,7.773654427364552,6.126645865179892
