seed,action,auroc,auroc_ci_high,auroc_ci_low,average_precision,average_precision_ci_high,average_precision_ci_low,examples,feature,safe_prevalence,spearman,spearman_ci_high,spearman_ci_low,variant
17,r0.95_m4,0.8157894736842105,0.8408840973444555,0.790205455801105,0.9949669255104975,0.9989445317763305,0.9900123984019837,366,relevant_count,0.9863387978142076,,,,fixed_full
17,r0.95_m4,0.9997229916897508,1.0,0.9983379501385041,0.9999923478367334,1.0,0.9999539594843463,366,first_relevant_rank,0.9863387978142076,,,,fixed_full
17,r0.95_m4,1.0,1.0,1.0,0.9999999999999998,1.0000000000000002,0.9999999999999998,366,first_relevant_token_position,0.9863387978142076,,,,fixed_full
17,r0.95_m4,0.7952908587257618,0.9109016674934177,0.5613406795224978,0.9944242072821043,0.9993803448908796,0.9858288145202989,366,route_support_count,0.9863387978142076,,,,fixed_full
19,continuous_headroom,,,,,,,371,route_confidence,,0.025774153126953647,0.13523902871982948,-0.07711057360815757,fixed_full
19,r0.85_m4,0.4108126721763085,0.5981808447356536,0.20523361976369495,0.9720280693404094,0.9933615478344537,0.9440223533757589,371,route_confidence,0.9784366576819407,,,,fixed_full
19,r0.85_m4,0.8181818181818181,0.8421052631578947,0.7937158469945356,0.9921587846116149,0.9970555490448845,0.9863609911130045,371,relevant_count,0.9784366576819407,,,,fixed_full
19,r0.85_m4,0.9943181818181819,0.9990791896869244,0.9868524332810047,0.9997819263718635,0.9999629783201043,0.9994477378466226,371,first_relevant_rank,0.9784366576819407,,,,fixed_full
19,r0.85_m4,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,371,first_relevant_token_position,0.9784366576819407,,,,fixed_full
19,r0.85_m4,0.5375344352617081,0.7128415300546448,0.40821917808219177,0.9800564367202917,0.9936941237390595,0.9638474480593608,371,route_support_count,0.9784366576819407,,,,fixed_full
19,r0.95_m4,0.5183923705722071,0.7065158156616514,0.3513989599355453,0.9925508352629908,0.9983582598795251,0.9839056748476201,371,route_confidence,0.9892183288409704,,,,fixed_full
19,r0.95_m4,0.8147138964577656,0.8392857142857143,0.7882513661202186,0.9960046123225395,0.9990311065782764,0.9916835594365611,371,relevant_count,0.9892183288409704,,,,fixed_full
19,r0.95_m4,0.999659400544959,1.0,0.9979564032697548,0.9999925956640209,1.0,0.9999555824052456,371,first_relevant_rank,0.9892183288409704,,,,fixed_full
19,r0.95_m4,1.0,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9999999999999998,371,first_relevant_token_position,0.9892183288409704,,,,fixed_full
19,r0.95_m4,0.6614441416893733,0.915989159891599,0.4078590785907859,0.9927374404873834,0.9995239354174554,0.9826070455622705,371,route_support_count,0.9892183288409704,,,,fixed_full
13,continuous_headroom,,,,,,,327,route_confidence,,-0.04804229410405991,0.05270768406248301,-0.154821812799967,fixed_cluster_primary
13,r0.85_m4,0.39106583072100315,0.5664628682897295,0.21154815550828485,0.9692557368535395,0.9919598464427125,0.94018109701873,327,route_confidence,0.9755351681957186,,,,fixed_cluster_primary
13,r0.85_m4,0.7433385579937304,0.8075740111623392,0.6340638194612958,0.9881046757688713,0.9959508438101711,0.9787254896131287,327,relevant_count,0.9755351681957186,,,,fixed_cluster_primary
13,r0.85_m4,0.995101880877743,0.9997561102313292,0.9879156987756328,0.9998061190928703,0.9999811808986121,0.9994959318538335,327,first_relevant_rank,0.9755351681957186,,,,fixed_cluster_primary
13,r0.85_m4,0.9974529780564263,1.0,0.9911821710936186,0.9999233077372907,1.0,0.9997105895291292,327,first_relevant_token_position,0.9755351681957186,,,,fixed_cluster_primary
13,r0.85_m4,0.7186520376175549,0.9004625264241212,0.533898343036274,0.9860925035875938,0.9963587982402944,0.9719705055847813,327,route_support_count,0.9755351681957186,,,,fixed_cluster_primary
13,r0.95_m4,0.44650205761316875,0.5689300411522633,0.2852760736196319,0.9923341068407998,0.9981597004265955,0.9823618742775148,327,route_confidence,0.9908256880733946,,,,fixed_cluster_primary
13,r0.95_m4,0.7839506172839505,0.8098159509202454,0.7569659442724459,0.9960357911428249,0.998771129997561,0.9908913694303924,327,relevant_count,0.9908256880733946,,,,fixed_cluster_primary
13,r0.95_m4,0.9984567901234568,1.0,0.9953271028037383,0.9999716842224488,1.0,0.9998856783560548,327,first_relevant_rank,0.9908256880733946,,,,fixed_cluster_primary
13,r0.95_m4,0.9984567901234568,1.0,0.9953416149068324,0.9999716842224488,1.0,0.9998856783560548,327,first_relevant_token_position,0.9908256880733946,,,,fixed_cluster_primary
13,r0.95_m4,0.6311728395061729,0.9674922600619196,0.4534810491702402,0.9932166424253707,0.9997842441980451,0.9831577767577948,327,route_support_count,0.9908256880733946,,,,fixed_cluster_primary
17,continuous_headroom,,,,,,,312,route_confidence,,-0.01963716485568979,0.08596022059076776,-0.12580447570249984,fixed_cluster_primary
17,r0.85_m4,0.4552980132450331,0.6172003131431695,0.3091954949459742,0.9708503232792554,0.9885101810555332,0.9486632960735412,312,route_confidence,0.967948717948718,,,,fixed_cluster_primary
17,r0.85_m4,0.7847682119205298,0.8125,0.7558922558922558,0.9862030905077263,0.9942557442557441,0.9771309771309773,312,relevant_count,0.967948717948718,,,,fixed_cluster_primary
17,r0.85_m4,0.9955298013245033,1.0,0.988079374891077,0.9998053188420932,1.0,0.9994516232690712,312,first_relevant_rank,0.967948717948718,,,,fixed_cluster_primary
17,r0.85_m4,0.9970198675496689,1.0,0.9911991199119912,0.9999026443740084,1.0,0.9996959721630393,312,first_relevant_token_position,0.967948717948718,,,,fixed_cluster_primary
17,r0.85_m4,0.5649006622516556,0.7105594241285029,0.45874587458745875,0.9720076661868401,0.9893937373915946,0.9511886770054383,312,route_support_count,0.967948717948718,,,,fixed_cluster_primary
17,r0.95_m4,0.4934640522875817,0.7569716775599129,0.24935483870967742,0.9830163528959956,0.9962215845113902,0.9650762398325048,312,route_confidence,0.9807692307692307,,,,fixed_cluster_primary
17,r0.95_m4,0.7810457516339869,0.8088235294117647,0.7530391120507399,0.9915786827551532,0.997332506203474,0.9838183618706875,312,relevant_count,0.9807692307692307,,,,fixed_cluster_primary
17,r0.95_m4,0.9989106753812637,1.0,0.9951298701298701,0.9999574205360755,1.0,0.9998268679326949,312,first_relevant_rank,0.9807692307692307,,,,fixed_cluster_primary
17,r0.95_m4,1.0,1.0,1.0,1.0,1.0,0.9999999999999998,312,first_relevant_token_position,0.9807692307692307,,,,fixed_cluster_primary
17,r0.95_m4,0.6380718954248367,0.8947739163526431,0.4596774193548387,0.9860056952386314,0.9965601969079187,0.9693596339475968,312,route_support_count,0.9807692307692307,,,,fixed_cluster_primary
19,continuous_headroom,,,,,,,324,route_confidence,,0.06755774349681785,0.171637735387483,-0.04245386683539537,fixed_cluster_primary
19,r0.85_m4,0.5966651644885084,0.8171284565450091,0.37628406708595385,0.9863636518851444,0.9974117707800394,0.9723554910483574,324,route_confidence,0.9783950617283951,,,,fixed_cluster_primary
19,r0.85_m4,0.7886435331230284,0.816314150523719,0.7609976906446542,0.9908673131596369,0.9972778161183958,0.9831422928823785,324,relevant_count,0.9783950617283951,,,,fixed_cluster_primary
19,r0.85_m4,0.9954934655250113,1.0,0.9883597883597884,0.9998725119378515,1.0,0.9996239725799474,324,first_relevant_rank,0.9783950617283951,,,,fixed_cluster_primary
19,r0.85_m4,0.9968454258675079,1.0,0.9904153354632588,0.9999318456205943,1.0,0.9997354497354496,324,first_relevant_token_position,0.9783950617283951,,,,fixed_cluster_primary
19,r0.85_m4,0.6185218566922037,0.8215501258841278,0.4656223060344828,0.983431771347091,0.9964391992833616,0.9673527955278405,324,route_support_count,0.9783950617283951,,,,fixed_cluster_primary
19,r0.95_m4,0.5,0.5,0.5,1.0,1.0,1.0,324,route_confidence,1.0,,,,fixed_cluster_primary
19,r0.95_m4,0.5,0.5,0.5,1.0,1.0,1.0,324,relevant_count,1.0,,,,fixed_cluster_primary
19,r0.95_m4,0.5,0.5,0.5,1.0,1.0,1.0,324,first_relevant_rank,1.0,,,,fixed_cluster_primary
19,r0.95_m4,0.5,0.5,0.5,1.0,1.0,1.0,324,first_relevant_token_position,1.0,,,,fixed_cluster_primary
19,r0.95_m4,0.5,0.5,0.5,1.0,1.0,1.0,324,route_support_count,1.0,,,,fixed_cluster_primary
13,continuous_headroom,,,,,,,349,route_confidence,,-0.04477113599117974,0.05676679858795669,-0.14696521818159772,shuffled_tiers
13,r0.85_m4,0.3031524926686217,0.49271956426522334,0.13747429204239833,0.9627559795322659,0.9891421034077952,0.9297177330520265,349,route_confidence,0.9770773638968482,,,,shuffled_tiers
13,r0.85_m4,0.8005865102639296,0.8265335614014391,0.7740524781341107,0.990857834281441,0.9965715421435315,0.9841920258614619,349,relevant_count,0.9770773638968482,,,,shuffled_tiers
13,r0.85_m4,0.9897360703812317,0.9982520531793787,0.9773014452005954,0.9996578578311079,0.9999503122049787,0.9991597568204855,349,first_relevant_rank,0.9770773638968482,,,,shuffled_tiers
13,r0.85_m4,0.9974340175953079,1.0,0.9916666666666667,0.9999327781932459,1.0,0.9997307897853235,349,first_relevant_token_position,0.9770773638968482,,,,shuffled_tiers
13,r0.85_m4,0.6876832844574781,0.8774124209778177,0.5114818295739348,0.985593413222266,0.9964787882070081,0.972602655927637,349,route_support_count,0.9770773638968482,,,,shuffled_tiers
13,r0.95_m4,0.3304431599229287,0.4798559896352402,0.2255968836391053,0.9902080841809637,0.997807634664592,0.9769475067701631,349,route_confidence,0.9914040114613181,,,,shuffled_tiers
13,r0.95_m4,0.796242774566474,0.8227665706051873,0.771245500713901,0.9964970104509996,0.9989131508744195,0.9917894066589588,349,relevant_count,0.9914040114613181,,,,shuffled_tiers
13,r0.95_m4,1.0,1.0,1.0,1.0,1.0,1.0,349,first_relevant_rank,0.9914040114613181,,,,shuffled_tiers
13,r0.95_m4,1.0,1.0,1.0,1.0,1.0000000000000002,0.9999999999999998,349,first_relevant_token_position,0.9914040114613181,,,,shuffled_tiers
13,r0.95_m4,0.7687861271676301,0.9482758620689655,0.4338604292954387,0.9960231638333004,0.9996609516410172,0.9887123058326551,349,route_support_count,0.9914040114613181,,,,shuffled_tiers
17,continuous_headroom,,,,,,,340,route_confidence,,-0.010894868216030588,0.09464375952430847,-0.11479579398263913,shuffled_tiers
17,r0.85_m4,0.37623337623337627,0.5342620481927711,0.24030842818548206,0.9777846279982644,0.9930670387831169,0.9584739882753522,340,route_confidence,0.9794117647058823,,,,shuffled_tiers
17,r0.85_m4,0.8048048048048049,0.8303571428571428,0.7789594566476081,0.9919625507860802,0.997650539505743,0.9852671343766866,340,relevant_count,0.9794117647058823,,,,shuffled_tiers
17,r0.85_m4,0.9948519948519948,1.0,0.9855035095740103,0.9998560287482443,1.0,0.9995892853534426,340,first_relevant_rank,0.9794117647058823,,,,shuffled_tiers
17,r0.85_m4,0.9987129987129986,1.0,0.9946290701577711,0.9999731874731874,1.0,0.9998917748917748,340,first_relevant_token_position,0.9794117647058823,,,,shuffled_tiers
17,r0.85_m4,0.4219219219219219,0.44029850746268656,0.4018120144583513,0.976265625550937,0.9906036252173925,0.9567153837255726,340,route_support_count,0.9794117647058823,,,,shuffled_tiers
17,r0.95_m4,0.453134328358209,0.7935281065088757,0.1878698224852071,0.9851747227170387,0.9980855881920988,0.9672522684485052,340,route_confidence,0.9852941176470589,,,,shuffled_tiers
17,r0.95_m4,0.8029850746268656,0.8283582089552239,0.7781065088757396,0.9942054433713784,0.9988027069234773,0.9882352941176471,340,relevant_count,0.9852941176470589,,,,shuffled_tiers
17,r0.95_m4,0.9997014925373134,1.0,0.9980217606330366,0.9999911158493249,1.0,0.9999468532707383,340,first_relevant_rank,0.9852941176470589,,,,shuffled_tiers
17,r0.95_m4,1.0,1.0,1.0,0.9999999999999999,1.0,0.9999999999999999,340,first_relevant_token_position,0.9852941176470589,,,,shuffled_tiers
17,r0.95_m4,0.5391044776119402,0.8063180019782394,0.41097922848664686,0.9864292108777646,0.9966587514725217,0.9724454771616177,340,route_support_count,0.9852941176470589,,,,shuffled_tiers
19,continuous_headroom,,,,,,,351,route_confidence,,0.041861073035745086,0.14514797552919614,-0.06182576537048553,shuffled_tiers
19,r0.85_m4,0.5234604105571847,0.6949201936070755,0.3574792960662526,0.9782863606851981,0.9923864207076976,0.9612420916210879,351,route_confidence,0.9715099715099715,,,,shuffled_tiers
19,r0.85_m4,0.8005865102639296,0.8250728862973761,0.7741935483870968,0.9886374079922468,0.9946895854758043,0.9801339801339801,351,relevant_count,0.9715099715099715,,,,shuffled_tiers
19,r0.85_m4,0.9960410557184751,1.0,0.9896174940523487,0.9998395041186351,1.0,0.9995307917567855,351,first_relevant_rank,0.9715099715099715,,,,shuffled_tiers
19,r0.85_m4,0.9973607038123167,1.0,0.9913544668587896,0.9999164515293548,1.0,0.9996974510248846,351,first_relevant_token_position,0.9715099715099715,,,,shuffled_tiers
