selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_similarity,1.0,19,0.8,4,0.9,0.21515248715877533,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.01948429400232613,-0.06889992443274817,-0.04384997301457237,0.016786570743405275,-0.02877697841726619,-0.007194244604316547,15,390,12,0.7011080384254456,0.8633093525179856,geometry_similarity,12,geometry_similarity:r0.80:m4:c0.90,1216.8033573141486,0.02382284648471699,-0.021311887411962945,False,0.01,417,100k,-214.3810551558753,-291.50479616306956,-253.31654676258992,8,319,14,0.7841726618705036,0.8276898734177215,293.10797362110304,212.85065947242208,253.31654676258992,17.23101265822785,4.919209032206577e-40
shuffled_confidence,1.0,13,0.75,4,0.8,0.5425800102345106,0.8705035971223022,17,dense_top10,1470.1199040767385,-0.02762294277132409,-0.07200541719930519,-0.04958684343762488,0.004796163069544364,-0.04316546762589928,-0.019184652278177457,17,391,9,0.16863754391670227,0.8513189448441247,shuffled_confidence,9,shuffled_confidence:r0.75:m4:c0.80,1220.1606714628297,0.0073046324844885996,-0.029620710655527963,False,0.01,417,100k,-197.6023381294965,-297.13327338129494,-249.95923261390888,7,308,13,0.7553956834532374,0.8299735743181522,298.8210431654676,198.58147482014388,249.95923261390888,17.00264256818478,6.580443982595754e-35
shuffled_confidence,1.0,17,0.75,4,0.8,0.43963947345141363,0.8705035971223022,9,dense_top10,1470.1199040767385,-0.0270025550689468,-0.0699437219145418,-0.048269054557816646,0.014388489208633094,-0.023980815347721823,-0.004796163069544364,9,401,7,0.803619384765625,0.8657074340527577,shuffled_confidence,7,shuffled_confidence:r0.75:m4:c0.80,1167.3525179856115,0.008896692170073465,-0.0295476243574418,False,0.01,417,100k,-255.16654676258997,-353.8464028776978,-302.7673860911271,5,328,9,0.7985611510791367,0.7940525903693071,355.1640887290167,256.02248201438846,302.7673860911271,20.59474096306929,3.577478915304094e-41
shuffled_confidence,1.0,19,0.75,4,0.8,0.5144095665403683,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.03374938469138115,-0.07942533792043839,-0.05641566609378567,0.011990407673860911,-0.03357314148681055,-0.009592326139088728,14,393,10,0.5412561893463135,0.8609112709832134,shuffled_confidence,10,shuffled_confidence:r0.75:m4:c0.80,1196.7553956834533,0.023192874272010965,-0.027172810174053704,False,0.01,417,100k,-229.6040767386092,-315.12607913669063,-273.36450839328535,7,315,13,0.7721822541966427,0.814052916612293,317.53621103117507,231.90851318944843,273.36450839328535,18.594708338770705,5.556604582444044e-38
random_selector,1.0,13,0.75,4,0.8,0.15901120525428822,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.025453494832138473,-0.06869978636437021,-0.04649360374366576,0.004796163069544364,-0.0407673860911271,-0.016786570743405275,15,394,8,0.21003961563110352,0.8537170263788969,random_selector,8,random_selector:r0.75:m4:c0.80,1203.3645083932854,0.007511133949982871,-0.02778435605155003,False,0.01,417,100k,-211.63159472422063,-317.3995203836931,-266.75539568345323,7,316,14,0.7745803357314148,0.8185485449562835,320.7398681055156,212.90227817745804,266.75539568345323,18.14514550437165,1.3268196398839579e-37
random_selector,1.0,17,0.75,4,0.8,0.18280168697187885,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.0264658965468318,-0.07028332312504974,-0.048361656994750514,0.009592326139088728,-0.03357314148681055,-0.011990407673860911,12,398,7,0.359283447265625,0.8585131894484412,random_selector,7,random_selector:r0.75:m4:c0.80,1174.179856115108,0.007884168855391878,-0.029207667468029073,False,0.01,417,100k,-247.05395683453247,-349.1169664268585,-295.9400479616307,5,322,12,0.7841726618705036,0.7986966592718256,349.29268585131894,246.324340527578,295.9400479616307,20.130334072817433,1.8868801843983973e-39
random_selector,1.0,19,0.75,4,0.8,0.210516669128004,0.8705035971223022,15,dense_top10,1470.1199040767385,-0.03494952355028952,-0.08054528667706229,-0.05766181203417621,0.011990407673860911,-0.03357314148681055,-0.011990407673860911,15,392,10,0.42435622215270996,0.8585131894484412,random_selector,10,random_selector:r0.75:m4:c0.80,1195.0431654676258,0.022823645845228578,-0.02771763391300791,False,0.01,417,100k,-233.28267386091133,-315.15323741007194,-275.07673860911274,5,313,13,0.762589928057554,0.8128882291530732,316.25803357314146,235.04052757793767,275.07673860911274,18.711177084692675,2.48493199621023e-40
budget_only,1.0,13,0.85,4,1.0,-inf,0.8705035971223022,17,dense_top10,1470.1199040767385,-0.02293063977687835,-0.06688495251716225,-0.04419180881597156,0.007194244604316547,-0.04316546762589928,-0.016786570743405275,17,390,10,0.24778856337070465,0.8537170263788969,budget_only,10,budget_only:r0.85:m4:c1.00,1238.0287769784172,0.007647215560884626,-0.026366904977279487,False,0.01,417,100k,-192.3037170263789,-276.25239808153475,-232.09112709832135,7,325,13,0.7961630695443646,0.8421277567532298,276.9335731414868,192.13495203836933,232.09112709832135,15.787224324677018,1.7984978319964744e-38
budget_only,1.0,17,0.85,4,1.0,-inf,0.8705035971223022,12,dense_top10,1470.1199040767385,-0.02600185760482526,-0.06717004102345829,-0.04621555778216656,0.004796163069544364,-0.03597122302158273,-0.014388489208633094,12,399,6,0.237884521484375,0.8561151079136691,budget_only,6,budget_only:r0.85:m4:c1.00,1206.8681055155876,0.007781393932473069,-0.0269821141030525,False,0.01,417,100k,-216.44568345323745,-316.46055155875297,-263.2517985611511,4,333,11,0.8081534772182254,0.8209317499673757,312.59040767386085,216.90053956834532,263.2517985611511,17.906825003262426,1.632584588536396e-42
budget_only,1.0,19,0.85,4,1.0,-inf,0.8705035971223022,14,dense_top10,1470.1199040767385,-0.017046301531695993,-0.06364059722516062,-0.04040636426520823,0.019184652278177457,-0.026378896882494004,-0.004796163069544364,14,391,12,0.8450189828872681,0.8657074340527577,budget_only,12,budget_only:r0.85:m4:c1.00,1259.7553956834533,0.024208252445662517,-0.01956918929431054,False,0.01,417,100k,-174.97344124700243,-246.52541966426858,-210.36450839328538,7,315,12,0.7721822541966427,0.8569065640088739,247.2925659472422,173.36654676258993,210.36450839328538,14.309343599112612,1.3403831328221381e-33
