seed,bm25_support_at100,cluster_support_at100,dense_support_at100,first_relevant_prefix_ratio,first_relevant_prefix_tokens,first_relevant_rank,maximum_safe_token_saving,minimum_safe_ratio_grid,multiple_relevant,query_id,relevant_chunks_top10,route_confidence,route_support_count_at100,route_tier,safe_r0.85_m4,safe_r0.95_m4,source_hit,total_tokens_top10,variant
13,1,0,1,0.16742539200809306,331,2,0.5022761760242792,0.01,1,lotte_technology_search_100k_q538,3,0.5872998890380992,2,hybrid_lite,1,1,1,1977,dynamic_gated
13,1,1,1,0.49667994687915007,374,6,0.5033200531208499,0.5,0,lotte_technology_search_100k_q262,1,0.503720724260953,3,hybrid_lite,1,1,1,753,dynamic_gated
13,1,1,1,0.14520547945205478,159,1,0.5972602739726027,0.01,1,lotte_technology_search_100k_q466,9,0.907749192133758,3,linucb_primary,1,1,1,1095,dynamic_gated
13,1,1,1,0.05081555834378921,81,1,0.47365119196988703,0.01,1,lotte_technology_search_100k_q588,4,0.6751839371105628,3,hybrid_lite,1,1,1,1594,dynamic_gated
13,1,1,1,0.41284403669724773,495,1,0.36363636363636365,0.01,1,lotte_technology_search_100k_q450,4,0.7555431177663782,3,linucb_primary,1,1,1,1199,dynamic_gated
13,1,0,1,0.13070539419087138,63,1,0.7489626556016598,0.01,1,lotte_technology_search_100k_q113,3,0.3723591196839732,2,full_dense_fallback,1,1,1,482,dynamic_gated
13,1,1,1,0.9063867016622922,1036,9,0.09361329833770782,0.91,0,lotte_technology_search_100k_q511,1,0.4943506179352366,3,hybrid_lite,0,1,1,1143,dynamic_gated
13,1,0,1,0.17996505532906232,309,2,0.6924868957483984,0.01,0,lotte_technology_search_100k_q206,1,0.24180499125367533,2,full_dense_fallback,1,1,1,1717,dynamic_gated
13,1,1,1,0.19504132231404958,236,1,0.4694214876033058,0.01,1,lotte_technology_search_100k_q245,2,0.42081965315780373,3,full_dense_fallback,1,1,1,1210,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q60,0,0.535654146505694,2,hybrid_lite,0,0,0,922,dynamic_gated
13,1,1,1,0.06474820143884892,63,1,0.6639260020554985,0.01,0,lotte_technology_search_100k_q44,1,0.9605209189509067,3,linucb_primary,1,1,1,973,dynamic_gated
13,1,1,1,0.16795366795366795,174,2,0.6544401544401545,0.01,1,lotte_technology_search_100k_q46,3,0.8747373112473988,3,linucb_primary,1,1,1,1036,dynamic_gated
13,1,1,1,0.1835985312117503,300,1,0.49632802937576503,0.01,1,lotte_technology_search_100k_q358,3,0.5612596134713779,3,hybrid_lite,1,1,1,1634,dynamic_gated
13,1,0,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q81,0,0.49662796606962145,2,hybrid_lite,0,0,0,1281,dynamic_gated
13,1,1,1,0.4640692640692641,536,5,0.6354978354978356,0.37,1,lotte_technology_search_100k_q193,2,0.7010902482126383,3,hybrid_lite,1,1,1,1155,dynamic_gated
13,1,1,1,0.09327983951855567,93,1,0.5035105315947843,0.01,1,lotte_technology_search_100k_q296,5,0.9574530277349438,3,linucb_primary,1,1,1,997,dynamic_gated
13,1,1,1,0.6799249530956848,1812,5,0.7133208255159474,0.29,1,lotte_technology_search_100k_q542,2,0.7886289785916984,3,linucb_primary,1,1,1,2665,dynamic_gated
13,0,1,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q77,0,0.687972475837995,2,hybrid_lite,0,0,0,755,dynamic_gated
13,0,1,1,0.9178794178794178,1766,8,0.08212058212058215,0.92,0,lotte_technology_search_100k_q114,1,0.7741167130614823,2,linucb_primary,0,1,1,1924,dynamic_gated
13,1,1,1,0.02238354506957048,37,1,0.5238959467634603,0.01,1,lotte_technology_search_100k_q346,2,0.914178006824856,3,linucb_primary,1,1,1,1653,dynamic_gated
13,1,1,1,0.05102763997165131,72,1,0.7632884479092842,0.01,1,lotte_technology_search_100k_q49,2,0.7037525347208619,3,hybrid_lite,1,1,1,1411,dynamic_gated
13,1,1,1,0.3110485573539761,442,3,0.625615763546798,0.01,1,lotte_technology_search_100k_q110,4,0.9104112248453022,3,linucb_primary,1,1,1,1421,dynamic_gated
13,0,0,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q237,0,0.3118766861597891,0,full_dense_fallback,0,0,0,788,dynamic_gated
13,1,0,1,0.3202416918429003,106,1,0.3987915407854985,0.01,0,lotte_technology_search_100k_q307,1,0.46456041294302586,2,hybrid_lite,1,1,1,331,dynamic_gated
13,1,0,1,0.03369272237196765,75,1,0.5813117699910153,0.01,1,lotte_technology_search_100k_q491,6,0.35090453661730614,2,full_dense_fallback,1,1,1,2226,dynamic_gated
13,1,1,1,0.07508939213349225,63,1,0.5709177592371871,0.01,1,lotte_technology_search_100k_q43,4,0.9219770841097541,3,linucb_primary,1,1,1,839,dynamic_gated
13,1,1,1,0.08701923076923077,181,1,0.3533653846153846,0.01,1,lotte_technology_search_100k_q409,2,0.7631361088495142,3,linucb_primary,1,1,1,2080,dynamic_gated
13,1,1,0,nan,0,0,nan,nan,0,lotte_technology_search_100k_q317,0,0.5560262383413727,2,hybrid_lite,0,0,0,2258,dynamic_gated
13,1,1,1,0.6049141965678627,1551,8,0.5046801872074883,0.5,0,lotte_technology_search_100k_q6,1,0.6657493732101363,3,hybrid_lite,1,1,1,2564,dynamic_gated
13,1,1,1,0.2943746586564719,539,1,0.43910431458219557,0.01,1,lotte_technology_search_100k_q308,4,0.9070269714283247,3,linucb_primary,1,1,1,1831,dynamic_gated
13,1,0,1,nan,0,0,nan,nan,0,lotte_technology_search_100k_q28,0,0.448712193337978,2,hybrid_lite,0,0,0,1355,dynamic_gated
13,1,1,1,0.02427471876850207,41,1,0.6033155713439906,0.01,1,lotte_technology_search_100k_q422,4,0.8809222020749372,3,linucb_primary,1,1,1,1689,dynamic_gated
