selector,margin_pp,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_no_feedback,1.0,19,0.85,4,0.9,0.28702032566070557,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022069475372083286,-0.04343884252204148,-0.03201752227118141,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,geometry_no_feedback,0,geometry_no_feedback:r0.85:m4:c0.90,1175.6978417266187,-0.0022106124624110234,-0.016140690627895634,False,0.0,417,100k,-258.4417865707434,-336.27517985611513,-294.4220623501199,0,357,8,0.8561151079136691,0.7997292183218061,336.04832134292565,257.311690647482,294.4220623501199,20.02707816781939,2.9189656141508914e-68
random_feedback,1.0,13,0.85,4,0.9,0.27194779812665276,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022278239097034063,-0.04251824003552793,-0.031847787928785204,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,random_feedback,0,random_feedback:r0.85:m4:c0.90,1156.4580335731414,-0.0022106124624110234,-0.0165703519253497,False,0.0,417,100k,-277.98171462829737,-353.74754196642687,-313.66187050359713,0,369,8,0.8848920863309353,0.7866419809474096,355.7807553956834,277.0818944844125,313.66187050359713,21.335801905259043,4.1680811319044135e-69
random_feedback,1.0,17,0.85,4,0.9,0.2662114092890936,0.8705035971223022,7,dense_top10,1470.1199040767385,quality_constraint,-0.020788979168956223,-0.04176772744366083,-0.030568811110240037,-0.004796163069544364,-0.02877697841726619,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,random_feedback,0,random_feedback:r0.85:m4:c0.90,1148.2853717026378,-0.0019708043089338052,-0.015996476005226953,False,0.0,417,100k,-284.52326139088734,-364.4755395683453,-321.8345323741007,0,382,7,0.9160671462829736,0.7810828004697898,363.44442446043166,285.78884892086336,321.8345323741007,21.891719953021017,9.684299512888053e-70
random_feedback,1.0,19,0.85,4,0.9,0.2846037304519992,0.8705035971223022,6,dense_top10,1470.1199040767385,quality_constraint,-0.02042289914150185,-0.03920765760879876,-0.029369770342853947,-0.004796163069544364,-0.026438848920863203,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,random_feedback,0,random_feedback:r0.85:m4:c0.90,1155.1414868105517,-0.0016282212325377794,-0.015660967780488193,False,0.0,417,100k,-277.259412470024,-358.7411870503597,-314.978417266187,0,378,6,0.9064748201438849,0.7857464439514552,357.4629496402877,280.1269784172662,314.978417266187,21.42535560485448,1.6754507586348686e-69
random_no_feedback,1.0,13,0.85,4,0.9,0.22009716928005219,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.020494439945878802,-0.04058299889421199,-0.030049226777706068,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,random_no_feedback,0,random_no_feedback:r0.85:m4:c0.90,1186.9688249400479,-0.0022106124624110234,-0.0158298654833687,False,0.0,417,100k,-251.50149880095924,-325.07553956834533,-283.15107913669067,0,349,8,0.8369304556354916,0.8073959284875375,322.106175059952,249.63255395683453,283.15107913669067,19.260407151246252,1.3906512478196168e-67
random_no_feedback,1.0,17,0.85,4,0.9,0.23607859015464783,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.01890339985811023,-0.03874556020208463,-0.028064494217433934,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,random_no_feedback,0,random_no_feedback:r0.85:m4:c0.90,1187.695443645084,-0.0022106124624110234,-0.014322498867330623,False,0.0,417,100k,-251.37356115107926,-317.46978417266183,-282.42446043165467,0,352,8,0.8441247002398081,0.8078901866109879,316.3618705035971,250.75185851318946,282.42446043165467,19.210981338901213,7.55813931081928e-68
random_no_feedback,1.0,19,0.85,4,0.9,0.20823700726032257,0.8705035971223022,7,dense_top10,1470.1199040767385,quality_constraint,-0.021048086780612835,-0.04123327356923239,-0.030648747161399113,-0.004796163069544364,-0.03117505995203837,-0.016786570743405275,7,410,0,0.015625,0.8537170263788969,random_no_feedback,0,random_no_feedback:r0.85:m4:c0.90,1163.913669064748,-0.0019441589585474477,-0.01605195322211214,False,0.0,417,100k,-269.6085731414868,-349.3908872901679,-306.20623501199043,0,370,7,0.8872901678657075,0.7917134281612945,347.2920263788969,270.239928057554,306.20623501199043,20.828657183870547,4.168120874509491e-69
dense_budget_only,1.0,13,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.022985895766145705,-0.04420554730271612,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-302.93705035971226,-379.3397482014388,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,378.315587529976,301.74514388489206,336.4988009592326,22.889207882030536,2.275261755131998e-70
dense_budget_only,1.0,17,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.02358234348481806,-0.04433098695696376,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-302.36816546762594,-378.2259592326139,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,377.3121103117506,299.2558752997602,336.4988009592326,22.889207882030536,2.275261755131998e-70
dense_budget_only,1.0,19,0.85,4,1.0,-inf,0.8705035971223022,8,dense_top10,1470.1199040767385,quality_constraint,-0.023104115192694327,-0.044258992567104694,-0.033046828696171295,-0.007194244604316547,-0.03357314148681055,-0.019184652278177457,8,409,0,0.0078125,0.8513189448441247,dense_budget_only,0,dense_budget_only:r0.85:m4:c1.00,1133.621103117506,-0.0022106124624110234,-0.01703420421220167,False,0.0,417,100k,-301.4452038369305,-378.48609112709835,-336.4988009592326,0,409,8,0.9808153477218226,0.7711079211796946,375.00377697841725,300.9832134292566,336.4988009592326,22.889207882030536,2.275261755131998e-70
