selector,seed,target_coverage,score_threshold,actual_coverage,action,selected_examples,selective_risk,selective_risk_ci_high,selective_risk_ci_low,test_examples
random_no_feedback,13,0.7,0.2608680725097656,0.6721763085399449,token_budget_r0.85_m4,244,0.02459016393442623,0.045081967213114756,0.00819672131147541,363
random_no_feedback,13,0.8,0.24667483568191528,0.7382920110192838,token_budget_r0.85_m4,268,0.026119402985074626,0.048507462686567165,0.007462686567164179,363
random_no_feedback,13,0.9,0.22697719931602478,0.8402203856749312,token_budget_r0.85_m4,305,0.02622950819672131,0.04590163934426229,0.009836065573770493,363
random_no_feedback,13,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
random_no_feedback,17,0.1,0.3880682587623596,0.11019283746556474,token_budget_r0.85_m4,40,0.025,0.075,0.0,363
random_no_feedback,17,0.2,0.36882179975509644,0.15977961432506887,token_budget_r0.85_m4,58,0.05172413793103448,0.1206896551724138,0.0,363
random_no_feedback,17,0.3,0.34322601556777954,0.2644628099173554,token_budget_r0.85_m4,96,0.041666666666666664,0.08333333333333333,0.010416666666666666,363
random_no_feedback,17,0.4,0.3178281784057617,0.3884297520661157,token_budget_r0.85_m4,141,0.028368794326241134,0.05673758865248227,0.0070921985815602835,363
random_no_feedback,17,0.5,0.2978910803794861,0.5068870523415978,token_budget_r0.85_m4,184,0.03260869565217391,0.059782608695652176,0.010869565217391304,363
random_no_feedback,17,0.6,0.2893099784851074,0.5619834710743802,token_budget_r0.85_m4,204,0.029411764705882353,0.05392156862745098,0.00980392156862745,363
random_no_feedback,17,0.7,0.27214598655700684,0.6391184573002755,token_budget_r0.85_m4,232,0.02586206896551724,0.04741379310344827,0.008620689655172414,363
random_no_feedback,17,0.8,0.2520674765110016,0.7548209366391184,token_budget_r0.85_m4,274,0.025547445255474453,0.04744525547445255,0.0072992700729927005,363
random_no_feedback,17,0.9,0.23580659925937653,0.8622589531680441,token_budget_r0.85_m4,313,0.025559105431309903,0.04472843450479233,0.009584664536741214,363
random_no_feedback,17,1.0,-inf,1.0,token_budget_r0.85_m4,363,0.02203856749311295,0.03856749311294766,0.008264462809917356,363
random_no_feedback,19,0.1,0.3823908269405365,0.0881542699724518,token_budget_r0.85_m4,32,0.03125,0.09375,0.0,363
random_no_feedback,19,0.2,0.3593263626098633,0.1763085399449036,token_budget_r0.85_m4,64,0.015625,0.046875,0.0,363
random_no_feedback,19,0.3,0.3210529088973999,0.36639118457300274,token_budget_r0.85_m4,133,0.022556390977443608,0.05263157894736842,0.0,363
random_no_feedback,19,0.4,0.30409806966781616,0.46005509641873277,token_budget_r0.85_m4,167,0.023952095808383235,0.04790419161676647,0.005988023952095809,363
random_no_feedback,19,0.5,0.2921049892902374,0.5426997245179064,token_budget_r0.85_m4,197,0.02030456852791878,0.04060913705583756,0.0049492385786802096,363
random_no_feedback,19,0.6,0.2796473503112793,0.5977961432506887,token_budget_r0.85_m4,217,0.02304147465437788,0.04608294930875576,0.004608294930875576,363
random_no_feedback,19,0.7,0.26408106088638306,0.696969696969697,token_budget_r0.85_m4,253,0.023715415019762844,0.043478260869565216,0.007905138339920948,363
