selector,seed,budget_ratio,min_keep,target_coverage,score_threshold,baseline_hit@10,baseline_only_hits,baseline_run_id,baseline_tokens_mean,choice_label,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_delta_ci_high,hit_delta_ci_low,hit_delta_mean,hit_losses,hit_ties,hit_wins,mcnemar_p_two_sided,method_hit@10,method_label,method_only_hits,method_run_id,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_by_ci,noninferior_margin,num_queries,saving_target_pct,scale,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_ratio,token_saving_ci_high,token_saving_ci_low,token_saving_mean,token_saving_percent,token_saving_wilcoxon_p_greater
geometry_no_feedback,19,0.75,7,0.6,0.38991880416870117,0.8705035971223022,10,dense_top10,1470.1199040767385,saving_target,-0.01904081496707397,-0.038078786970423655,-0.027886262418636523,-0.009592326139088728,-0.03836930455635491,-0.023980815347721823,10,407,0,0.001953125,0.8465227817745803,geometry_no_feedback,0,geometry_no_feedback:r0.75:m7:c0.60,1270.4124700239809,-0.002624567013056222,-0.012686847531063335,False,0.0,417,15.0,100k,-175.37865707434054,-224.76330935251798,-199.7074340527578,0,241,10,0.5779376498800959,0.8641556831528123,223.74622302158272,176.41025179856115,199.7074340527578,13.584431684718767,3.7072198447111295e-51
geometry_no_feedback,13,0.85,7,0.9,0.2659912705421448,0.8705035971223022,6,dense_top10,1470.1199040767385,saving_target,-0.01633019774656465,-0.03144384492406075,-0.023593030337634657,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,geometry_no_feedback,0,geometry_no_feedback:r0.85:m7:c0.90,1209.515587529976,-0.0015254463096189715,-0.012621776182743046,False,0.0,417,20.0,100k,-236.5515587529976,-288.55731414868103,-260.6043165467626,0,369,6,0.8848920863309353,0.8227326112488582,290.36300959232614,234.40473621103118,260.6043165467626,17.72673887511418,5.575608430058269e-69
geometry_no_feedback,17,0.85,7,0.9,0.2292739897966385,0.8705035971223022,6,dense_top10,1470.1199040767385,saving_target,-0.01636457500666135,-0.03164788407369343,-0.02367296638879373,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,geometry_no_feedback,0,geometry_no_feedback:r0.85:m7:c0.90,1208.0167865707433,-0.0015254463096189715,-0.012388661462198186,False,0.0,417,20.0,100k,-236.45071942446046,-289.64988009592327,-262.1031175059952,0,374,6,0.8968824940047961,0.8217131019183087,289.06151079136686,236.77488009592327,262.1031175059952,17.82868980816913,2.763205236944916e-69
geometry_no_feedback,19,0.85,7,0.9,0.28702032566070557,0.8705035971223022,6,dense_top10,1470.1199040767385,saving_target,-0.01637679675635518,-0.03189098228806118,-0.02389544850162563,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,geometry_no_feedback,0,geometry_no_feedback:r0.85:m7:c0.90,1219.0551558752998,-0.0015254463096189715,-0.01286661406073564,False,0.0,417,20.0,100k,-227.40053956834538,-278.5707434052757,-251.06474820143885,0,359,6,0.8609112709832134,0.829221584235939,277.85227817745806,226.6088129496403,251.06474820143885,17.077841576406104,2.918883147874636e-68
random_feedback,13,0.8,7,0.2,0.6947486705214504,0.8705035971223022,0,dense_top10,1470.1199040767385,saving_target,-0.00511894488738014,-0.0131241769161175,-0.008920242519225402,0.0,0.0,0.0,0,417,0,1.0,0.8705035971223022,random_feedback,0,random_feedback:r0.80:m7:c0.20,1394.3501199040768,0.0,-0.00651309931930829,True,0.0,417,5.0,100k,-56.12709832134295,-100.69106714628298,-75.76978417266187,0,85,0,0.2038369304556355,0.9484601331071383,101.38489208633092,54.806834532374104,75.76978417266187,5.153986689286172,2.2346044116907063e-12
random_feedback,17,0.8,7,0.2,0.6896125079221331,0.8705035971223022,2,dense_top10,1470.1199040767385,saving_target,-0.0062527969115974595,-0.01468007897011246,-0.010278203769272982,0.0,-0.011990407673860911,-0.004796163069544364,2,415,0,0.5,0.8657074340527577,random_feedback,0,random_feedback:r0.80:m7:c0.20,1386.9544364508392,-0.0005662136957100986,-0.006938586733485558,False,0.0,417,5.0,100k,-63.412410071942446,-103.63800959232614,-83.16546762589928,0,93,2,0.22302158273381295,0.9434294662664753,104.26942446043165,63.743944844124705,83.16546762589928,5.657053373352472,1.662674645551229e-14
random_feedback,19,0.8,7,0.2,0.7273484368071328,0.8705035971223022,2,dense_top10,1470.1199040767385,saving_target,-0.0056547364735469435,-0.018010539993143566,-0.010759247505712404,0.0,-0.011990407673860911,-0.004796163069544364,2,415,0,0.5,0.8657074340527577,random_feedback,0,random_feedback:r0.80:m7:c0.20,1401.8705035971223,-0.0005662136957100986,-0.00688237745641303,False,0.0,417,5.0,100k,-52.54400479616307,-84.28543165467626,-68.24940047961631,0,77,2,0.18465227817745802,0.9535756231241028,84.85539568345324,53.02907673860912,68.24940047961631,4.642437687589718,3.7508925782309885e-11
random_feedback,13,0.75,5,0.3,0.6201407551366837,0.8705035971223022,2,dense_top10,1470.1199040767385,saving_target,-0.010863128686482074,-0.023940563849860548,-0.017007582171313256,0.0,-0.011990407673860911,-0.004796163069544364,2,415,0,0.5,0.8657074340527577,random_feedback,0,random_feedback:r0.75:m5:c0.30,1332.707434052758,-0.000506261657340794,-0.010986232261155872,False,0.0,417,10.0,100k,-110.48189448441246,-168.91438848920862,-137.4124700239808,0,118,2,0.2829736211031175,0.9065297533603028,168.30227817745802,110.61594724220625,137.4124700239808,9.347024663969716,3.397283913846589e-20
random_feedback,17,0.75,5,0.3,0.5799361993103358,0.8705035971223022,5,dense_top10,1470.1199040767385,saving_target,-0.0136658751816281,-0.026963446484191956,-0.019995192083383597,-0.002398081534772182,-0.023980815347721823,-0.011990407673860911,5,412,0,0.0625,0.8585131894484412,random_feedback,0,random_feedback:r0.75:m5:c0.30,1286.841726618705,-0.0014417037798332762,-0.01214165783098193,False,0.0,417,10.0,100k,-147.44454436450846,-225.09670263788965,-183.27817745803358,0,146,5,0.3501199040767386,0.8753311366305625,224.20473621103105,147.4550959232614,183.27817745803358,12.46688633694375,1.0929459635100243e-27
random_feedback,19,0.75,5,0.3,0.6163558873067024,0.8705035971223022,6,dense_top10,1470.1199040767385,saving_target,-0.013500883201484794,-0.029338152630604873,-0.021118103278237238,-0.004796163069544364,-0.026378896882494004,-0.014388489208633094,6,411,0,0.03125,0.8561151079136691,random_feedback,0,random_feedback:r0.75:m5:c0.30,1323.9568345323742,-0.0016120436983746336,-0.012631104235517035,False,0.0,417,10.0,100k,-114.4919064748202,-181.0023381294964,-146.1630695443645,0,119,6,0.2853717026378897,0.9005774500848233,181.59766187050357,116.160551558753,146.1630695443645,9.942254991517673,2.2189885272349915e-21
