scale,method_label,method_run_id,num_queries,method_hit@10,baseline_hit@10,hit_delta_mean,hit_delta_ci_low,hit_delta_ci_high,noninferior_by_ci,token_ratio,token_saving_percent,token_saving_ci_low,token_saving_ci_high,token_saving_wilcoxon_p_greater,method_only_hits,baseline_only_hits,mcnemar_p_two_sided,baseline_run_id,baseline_tokens_mean,budget_ratio,budget_target_run_id,comparison,compressor,evidence_recall_delta_ci_high,evidence_recall_delta_ci_low,evidence_recall_delta_mean,hit_losses,hit_ties,hit_wins,method_tokens_mean,mrr_delta_mean,ndcg_delta_mean,noninferior_margin,source_group,token_delta_ci_high,token_delta_ci_low,token_delta_mean,token_down_hit_better,token_down_hit_same,token_down_hit_worse,token_down_nonworse_rate,token_saving_mean
100k,dense_top10_selective_context,dense:selective_context_r0.95,417,0.8705035971223022,0.8705035971223022,0.0,0.0,0.0,True,0.9433821610335378,5.661783896646222,79.19766187050361,87.66247002398082,2.2641954245102275e-70,0,0,1.0,dense,1470.1199040767385,0.95,dense,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1386.8848920863309,0.0,0.0,0.01,dense,-78.9058752997602,-87.66247002398082,-83.23501199040767,0,417,0,1.0,83.23501199040767
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.75,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.7479795831561037,25.20204168438963,327.7240407673861,368.2210431654676,2.276330052481499e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.75,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1028.9544364508392,0.0,0.0,0.01,intentweight,-329.03087529976017,-368.40695443645086,-346.6906474820144,0,417,0,1.0,346.6906474820144
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.75,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.7477001933998141,25.22998066001859,325.0789568345324,367.7617505995203,2.2761974093415126e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.75,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1020.757793764988,0.0,0.0,0.01,intentweight,-324.93758992805755,-368.68465227817745,-344.43884892086334,0,417,0,1.0,344.43884892086334
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.75,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.7477442369890198,25.22557630109802,331.8674460431655,375.71948441247,2.2763153139778333e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.75,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1044.525179856115,0.0,0.0,0.01,intentweight,-331.93657074340535,-376.4492206235012,-352.3764988009592,0,417,0,1.0,352.3764988009592
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.85,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.8466522791138753,15.33477208861247,199.6090527577938,223.96726618705034,2.274790388252629e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.85,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1164.693045563549,0.0,0.0,0.01,intentweight,-200.1570743405276,-224.6312350119904,-210.95203836930455,0,417,0,1.0,210.95203836930455
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.85,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.8464605726110028,15.353942738899718,197.60659472422063,222.96786570743402,2.2746578336896457e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.85,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1155.5851318944844,0.0,0.0,0.01,intentweight,-197.7082134292566,-223.51648681055156,-209.6115107913669,0,417,0,1.0,209.6115107913669
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.85,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.8468639057317667,15.313609426823326,201.61828537170263,228.01474820143886,2.2744295631517968e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.85,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1182.9856115107914,0.0,0.0,0.01,intentweight,-201.30581534772182,-228.3800959232614,-213.91606714628298,0,417,0,1.0,213.91606714628298
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.90,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.8952102697840472,10.478973021595284,136.521103117506,152.94250599520382,2.2724938550047005e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.9,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1231.4916067146282,0.0,0.0,0.01,intentweight,-136.33752997601917,-152.8107314148681,-144.15347721822542,0,417,0,1.0,144.15347721822542
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.90,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.8951723822957489,10.482761770425109,135.2996402877698,152.5321942446043,2.272582140865143e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.9,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1222.086330935252,0.0,0.0,0.01,intentweight,-135.4100119904077,-152.7965227817746,-143.11031175059952,0,417,0,1.0,143.11031175059952
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.90,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.8954417793403695,10.45582206596305,137.80791366906473,156.04220623501197,2.2715008723699453e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.9,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1250.8441247002397,0.0,0.0,0.01,intentweight,-137.82212230215828,-155.82308153477217,-146.05755395683454,0,417,0,1.0,146.05755395683454
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4:selective_context_r0.95,417,0.86810551558753,0.86810551558753,0.0,0.0,0.0,True,0.943797895558918,5.6202104441081975,73.49550359712231,81.78015587529976,2.2643860251547844e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,1375.6450839328538,0.95,task38:task37_source:gated_cost_aware:seed13:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1298.3309352517986,0.0,0.0,0.01,intentweight,-73.42194244604316,-82.04634292565947,-77.31414868105516,0,417,0,1.0,77.31414868105516
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4:selective_context_r0.95,417,0.8657074340527577,0.8657074340527577,0.0,0.0,0.0,True,0.9431130519404096,5.688694805959038,73.63549160671462,82.32823741007194,2.262114510171754e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,1365.1966426858514,0.95,task38:task37_source:gated_cost_aware:seed17:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1287.5347721822543,0.0,0.0,0.01,intentweight,-73.37404076738609,-82.3263788968825,-77.66187050359713,0,417,0,1.0,77.66187050359713
100k,intentweight_selective_context,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4:selective_context_r0.95,417,0.8776978417266187,0.8776978417266187,0.0,0.0,0.0,True,0.9431389783487952,5.686102165120477,75.18591127098321,84.3982613908873,2.2622976134355787e-70,0,0,1.0,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,1396.9016786570744,0.95,task38:task37_source:gated_cost_aware:seed19:token_budget_r0.95_m4,vs_source,selective_context_lite,0.0,0.0,0.0,0,417,0,1317.4724220623502,0.0,0.0,0.01,intentweight,-75.19616306954437,-84.47775779376498,-79.42925659472422,0,417,0,1.0,79.42925659472422
